,title,price,link
0,ASUS Vivobook 15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ522WS Thin and Light La...,"₹47,948",/asus-vivobook-15-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-x515ea-ej522ws-thin-light-laptop/p/itm85cfbc3a2e8a7?pid=COMGDRNRY8YB3KEG&lid=LSTCOMGDRNRY8YB3KEGKLPJN1&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_E8EnaQu0Y6%2FZVnmK8sYcOpVDwOsDqaEReKmIaYS2UqE4HMGygYWeRttpvb9yin9zSmJU09tuszBYJjTtnaFzxg%3D%3D&ppt=None&ppn=None&ssid=asaucbfoow0000001665210917709&qH=c06ea84a1e3dc3c6
1,ASUS TUF Gaming A15 with 90Whr Battery Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 G...,"₹89,878",/asus-tuf-gaming-a15-90whr-battery-ryzen-7-octa-core-5800h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3060-fa506qm-hn008w-laptop/p/itmcc4c1c0d500ac?pid=COMGGYY3RQKKKVKS&lid=LSTCOMGGYY3RQKKKVKSDEEJ3S&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=search&fm=organic&iid=en_E8EnaQu0Y6%2FZVnmK8sYcOpVDwOsDqaEReKmIaYS2UqHoCygcsBEVf%2FbhXttKUbrK880lfiuwTg3F3gMgDtr77Q%3D%3D&ppt=None&ppn=None&ssid=asaucbfoow0000001665210917709&qH=c06ea84a1e3dc3c6
2,ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS | X515JA-E...,"₹29,890",/asus-vivobook-15-2022-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej362ws-x515ja-ej392ws-thin-light-laptop/p/itmae4a34193296d?pid=COMG87FFPEDAAGXW&lid=LSTCOMG87FFPEDAAGXWTMCIPI&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_3&otracker=search&fm=organic&iid=80611667-e569-4929-82cb-f6cec58a4a93.COMG87FFPEDAAGXW.SEARCH&ppt=None&ppn=None&ssid=asaucbfoow0000001665210917709&qH=c06ea84a1e3dc3c6
3,ASUS VivoBook 15 (2022) Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ562WS | X515JA-E...,"₹37,890",/asus-vivobook-15-2022-core-i5-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej562ws-x515ja-ej592ws-thin-light-laptop/p/itm2e65b7fbcb497?pid=COMG87FF2SD7ZHK6&lid=LSTCOMG87FF2SD7ZHK6CCCXCI&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_4&otracker=search&fm=organic&iid=80611667-e569-4929-82cb-f6cec58a4a93.COMG87FF2SD7ZHK6.SEARCH&ppt=None&ppn=None&ssid=asaucbfoow0000001665210917709&qH=c06ea84a1e3dc3c6
4,ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,"₹47,890",/asus-tuf-gaming-f15-core-i5-10th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-fx506lhb-hn358w-laptop/p/itm4d930ab779cbd?pid=COMGF9Z7JYCFBKAP&lid=LSTCOMGF9Z7JYCFBKAPXYET0O&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_5&otracker=search&fm=organic&iid=80611667-e569-4929-82cb-f6cec58a4a93.COMGF9Z7JYCFBKAP.SEARCH&ppt=None&ppn=None&ssid=asaucbfoow0000001665210917709&qH=c06ea84a1e3dc3c6
5,RedmiBook 15 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Thin and Light Laptop,"₹27,890",/redmibook-15-core-i3-11th-gen-8-gb-256-gb-ssd-windows-10-home-thin-light-laptop/p/itm302328cdf5e24?pid=COMG4Z35GKZTRDSF&lid=LSTCOMG4Z35GKZTRDSFFNBHAW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=search&fm=organic&iid=80611667-e569-4929-82cb-f6cec58a4a93.COMG4Z35GKZTRDSF.SEARCH&ppt=None&ppn=None&ssid=asaucbfoow0000001665210917709&qH=c06ea84a1e3dc3c6
6,HP Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14s - dy5005TU Thin and Light Laptop,"₹59,899",/hp-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-14s-dy5005tu-thin-light-laptop/p/itm9372d97b214bd?pid=COMGG3S93DSUQPMU&lid=LSTCOMGG3S93DSUQPMUWKX9QS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_7&otracker=search&fm=organic&iid=80611667-e569-4929-82cb-f6cec58a4a93.COMGG3S93DSUQPMU.SEARCH&ppt=None&ppn=None&ssid=asaucbfoow0000001665210917709&qH=c06ea84a1e3dc3c6
7,ASUS VivoBook K15 OLED (2022) Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) K513EA-L312WS Thin ...,"₹62,890",/asus-vivobook-k15-oled-2022-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-k513ea-l312ws-thin-light-laptop/p/itm43432ba02fc87?pid=COMG87FFHXJHKNE8&lid=LSTCOMG87FFHXJHKNE8CJQCDQ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=search&fm=organic&iid=en_E8EnaQu0Y6%2FZVnmK8sYcOpVDwOsDqaEReKmIaYS2UqEMS0Z5xZ0cqWFLzB%2B%2FVAAQXxqIgF0BsYJhms2HdPHjSw%3D%3D&ppt=None&ppn=None&ssid=asaucbfoow0000001665210917709&qH=c06ea84a1e3dc3c6
8,HP Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1559AU Thin and Light Laptop,"₹29,890",/hp-athlon-dual-core-3050u-8-gb-512-gb-ssd-windows-11-home-15s-eq1559au-thin-light-laptop/p/itm805c7d908648d?pid=COMGG63HRV3GFN4G&lid=LSTCOMGG63HRV3GFN4GPLQ1JG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_9&otracker=search&fm=organic&iid=80611667-e569-4929-82cb-f6cec58a4a93.COMGG63HRV3GFN4G.SEARCH&ppt=None&ppn=None&ssid=asaucbfoow0000001665210917709&qH=c06ea84a1e3dc3c6
9,realme Book (Slim) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) RMNB1001 Thin and Light Laptop,"₹35,390",/realme-book-slim-core-i3-11th-gen-8-gb-256-gb-ssd-windows-10-home-rmnb1001-thin-light-laptop/p/itm63278eae4e867?pid=COMG5YDPE6KHFFK6&lid=LSTCOMG5YDPE6KHFFK6TDC2UE&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_10&otracker=search&fm=organic&iid=80611667-e569-4929-82cb-f6cec58a4a93.COMG5YDPE6KHFFK6.SEARCH&ppt=None&ppn=None&ssid=asaucbfoow0000001665210917709&qH=c06ea84a1e3dc3c6
